5/8/20,5/24/20,5/31/20,6/7/20,last_30,last_14,last_7,per_pop_confirmed,per_pop_confirmed_30,per_pop_confirmed_14,per_pop_confirmed_7,rate_increase_30,rate_increase_14,rate_increase_7,tangent_30,tangent_14,tangent_7,trend,per_confirmed_by2021_30,per_confirmed_by2021_14,per_confirmed_by2021_7,State,County,POPESTIMATE2019,UID,iso2,iso3,code3,FIPS,Country_Region,Lat,Long_,Combined_Key,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20
21,111,209,232,211,121,23,2.296802296802297,2.088902088902089,1.197901197901198,0.2277002277002277,10.047619047619037,1.09009009009009,0.11004784688995213,0.06963006963006962,0.085564371278657,0.032528603957175384,leveling,16.77985677985678,20.09419152276295,9.062751919894776,Alabama,Bullock,10101,84001011,US,USA,840,1011,US,32.10030533,-85.71265535,"Bullock, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,4,5,8,8,8,8,9,9,11,11,11,12,12,12,12,12,12,12,13,14,14,14,16,18,18,18,22,23,26,26,28,28,32,35,35,40,52,64,65,89,105,133,167,176,183,201,203,209,213,215,217,219,225
88,186,246,283,195,97,37,2.9097265062718485,2.0049352251696484,0.9973267530331071,0.3804236068270615,2.2159090909090913,0.5215053763440861,0.15040650406504066,0.06683117417232161,0.07123762521665052,0.05434622954672307,leveling,16.810610734114746,17.727152551335152,14.213742251990247,Alabama,Lowndes,9726,84001085,US,USA,840,1085,US,32.1597283,-86.65158371,"Lowndes, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,6,6,8,10,12,12,14,14,15,19,20,24,25,27,28,31,32,32,34,36,36,38,39,53,57,65,67,70,71,75,80,82,85,96,99,103,111,111,117,122,128,128,133,140,155,158,172,182,193,207,216,222,227,238,252,255,259,265,269,276
22,50,78,181,159,131,103,0.857494788705704,0.7532689027856737,0.6206177752510896,0.4879666477165056,7.227272727272734,2.6200000000000006,1.3205128205128207,0.025108963426189124,0.044329841089363546,0.06970952110235794,rising,6.080159181353042,10.078101735293322,15.357075177996157,Arizona,La Paz,21108,84004012,US,USA,840,4012,US,33.72854224,-113.9810029,"La Paz, Arizona, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,8,7,7,7,7,8,14,15,14,14,14,16,18,20,22,23,23,22,25,27,36,37,38,38,38,40,45,48,49,51,51,54,53,54,70,79,92,91,110,149,158
38,169,330,599,561,430,269,1.2882274506430385,1.2065035055271194,0.924770957890662,0.5785195062153211,14.763157894736821,2.544378698224852,0.8151515151515152,0.040216783517570645,0.06605506842076157,0.08264564374504588,rising,9.653318422297733,15.027681682161445,18.478521349612578,Arizona,Santa Cruz,46498,84004023,US,USA,840,4023,US,31.52508998,-110.8479088,"Santa Cruz, Arizona, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,5,6,7,7,8,8,10,10,12,14,14,16,19,20,23,28,28,30,30,30,30,31,31,33,33,34,34,34,35,37,38,40,44,45,51,50,62,69,72,75,78,97,102,123,131,143,186,187,188,225,262,297,330,365,438,462,503,530
159,670,1105,2231,2072,1561,1126,1.0435620500778813,0.969188959104155,0.7301660063521168,0.5266924555749414,13.031446540880493,2.3298507462686566,1.0190045248868775,0.03230629863680517,0.05215471473943691,0.07524177936784877,rising,7.763272166533356,11.891742715880758,16.693852158590428,Arizona,Yuma,213787,84004027,US,USA,840,4027,US,32.76895712,-113.90666740000002,"Yuma, Arizona, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,4,5,6,9,12,13,13,14,13,13,13,14,15,16,15,20,20,20,20,24,28,29,29,31,32,42,42,42,53,59,62,67,72,85,89,89,98,115,115,134,148,176,191,199,207,283,285,310,363,363,443,443,459,508,508,604,670,797,838,936,936,982,1137,1289,1520,1643,1815,1850
3,4,6,56,53,52,50,0.6786233640329618,0.6422685409597674,0.6301502666020359,0.605913717886573,17.666666666666668,12.999999999999991,8.333333333333334,0.021408951365325578,0.04501073332871685,0.08655910255522471,rising,5.131685248020682,10.040855896406066,18.6829166955197,Arkansas,Nevada,8252,84005099,US,USA,840,5099,US,33.66340119,-93.30632432,"Nevada, Arkansas, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,7,7,7,9,10,50
108,634,672,753,645,119,81,3.0127230535328478,2.5806193486436744,0.4761142674241818,0.32407777866688003,5.972222222222222,0.18769716088328076,0.12053571428571429,0.08602064495478914,0.034008161958870124,0.046296825523840006,leveling,20.90501720412899,10.086420740977834,12.642462762491569,Arkansas,St. Francis,24994,84005123,US,USA,840,5123,US,35.02201976,-90.74828138,"St. Francis, Arkansas, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10,11,27,29,31,31,31,32,34,45,45,63,63,64,64,65,65,66,69,74,75,80,81,82,83,83,84,87,93,95,95,98,104,108,278,279,305,310,316,333,335,341,349,362,365,600,621,628,639,651,655,660,664,672,676,682,687,691,694,744
16,84,210,339,323,255,129,1.993296877756218,1.8992179690715587,1.4993826071617569,0.7585112012700652,20.187499999999968,3.0357142857142847,0.6142857142857142,0.06330726563571862,0.10709875765441121,0.10835874303858074,rising,15.161208129985694,24.269838469873747,24.531915429781012,Arkansas,Sevier,17007,84005133,US,USA,840,5133,US,33.99780401,-94.2424869,"Sevier, Arkansas, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,8,8,8,8,8,8,8,9,10,10,10,10,10,11,11,11,11,11,11,12,12,12,13,14,14,14,16,18,21,21,24,24,25,27,28,32,46,49,50,62,79,93,111,120,131,162,170,225,258,283,297,301,326
7,96,141,235,228,139,94,1.1011667681926807,1.0683660559486434,0.6513284288458835,0.4404667072770723,32.571428571428626,1.4479166666666667,0.6666666666666667,0.03561220186495478,0.04652345920327739,0.06292381532529605,rising,8.508504756103275,10.778046282474378,14.189320355854258,Arkansas,Yell,21341,84005149,US,USA,840,5149,US,35.00292371,-93.41171338,"Yell, Arkansas, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,5,6,6,7,7,7,7,7,7,7,9,9,13,23,28,30,38,73,76,94,99,102,108,114,128,137,162,179,183,192,202,222
512,1145,1634,2568,2056,1423,934,1.4171012333416109,1.1345639157906355,0.7852550837403085,0.5154098722511933,4.015625000000001,1.2427947598253275,0.5716034271725825,0.037818797193021184,0.056089648838593464,0.07362998175017046,rising,9.283411049490017,13.083748191769052,16.732137437377066,California,Imperial,181215,84006025,US,USA,840,6025,US,33.0393082,-115.3669042,"Imperial, California, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,4,4,6,6,6,9,9,17,21,25,25,33,38,43,52,55,57,65,68,73,75,79,79,87,87,100,117,127,143,155,155,160,175,195,232,251,251,251,281,284,319,319,333,358,358,368,400,419,455,512,512,564,603,647,712,786,786,786,876,902,985,1076,1076,1145,1274,1352,1352,1443,1634,1634,1751,1798,2025,2493,2568,2568
